ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"89.239.155.236","elite","AS12389","RU","Ulyanovsk Branch of OJSC VolgaTelecom","69","JSC Rostelecom","7788","socks5","3001","2","2025-01-28T17:49:46.294Z","60","1213","2031"
"103.51.46.4","elite","AS133819","ID","CIM","203","N/A","4145","socks4","5195","1","2025-01-28T17:49:46.303Z","86","7712","8966"
"12.178.231.252","elite","AS7018","US","AT&T Services, Inc.","99","ATTSI, INFO TECHNOLOGYN OPERA","5678","socks4","520","2","2025-01-28T17:49:46.801Z","47","1065","2244"
"138.97.0.66","elite","AS262346","BR","FP Telecomunicacoes Ltda","199","FP Telecomunicacoes Ltda","4145","socks4","890","2","2025-01-28T17:49:46.907Z","79","6970","8871"
"104.255.170.66","elite","AS397373","US","H4Y Technologies LLC","147","N/A","50109","socks5","1101","1","2025-01-28T17:49:46.896Z","100","8933","8939"
"161.35.24.230","elite","AS14061","DE","DigitalOcean, LLC","80","DigitalOcean, LLC","12094","socks4","2091","86","2025-01-28T17:49:46.909Z","100","2200","2204"
"193.8.87.43","elite","AS197698","CZ","D-H-T SYSTEMS s.r.o.","28","D-H-T SYSTEMS s.r.o","4444","socks4","601","2","2025-01-28T17:49:46.296Z","100","8811","8836"
"197.211.24.206","elite","AS15399","KE","Wananchi Group (K) LTD","154","Slot Game LTD","5678","socks4","4097","1","2025-01-28T17:49:46.799Z","96","2143","2222"
"137.184.15.145","elite","AS14061","US","DigitalOcean, LLC","148","DigitalOcean, LLC","8000","socks4","970","1","2025-01-28T17:49:46.894Z","100","1323","1323"
"91.228.216.36","elite","AS203020","ES","HostRoyale Technologies Pvt Ltd","35","HostRoyale Technologies Pvt Ltd","10639","socks4","2107","3","2025-01-28T17:49:46.409Z","100","1734","1736"
"171.97.107.108","elite","AS17552","TH","True Internet Corporation CO. Ltd.","206","Truenet Hisp","4145","socks4","4687","6","2025-01-28T17:49:23.901Z","52","4588","8789"
